FileNo., TestNo., PM min, PM max, ACH min, ACH max, ACH mean, ACH std
      1,       1,   0.19,   0.66 
      1,       2,   0.29,  31.20,   4.35,    5.47,     5.05,    0.31 
      2,       1,   0.31,   0.55 
      2,       2,   0.30,  82.70,   7.03,   10.01,     8.07,    0.79 
      2,       3,   1.21,  17.00,   4.27,    4.80,     4.44,    0.10 
      2,       4,   0.67,   7.77,   1.16,    2.44,     1.86,    0.44 
      3,       1,   0.32,   0.50 
      3,       2,   0.39, 100.00,   2.87,    3.56,     3.27,    0.12 
      3,       3,   0.39, 100.00,   3.79,    4.42,     4.11,    0.17 
      4,       1,   0.45,   0.68 
      4,       2,   0.43,  83.70,   3.69,    4.78,     4.05,    0.29 
      4,       3,   0.33,  86.50,   3.96,    4.87,     4.35,    0.19 
      5,       1,   0.34,   0.63 
      5,       2,   0.31,  22.90,   3.76,    4.78,     4.44,    0.26 
      5,       3,   0.26,  71.90,   4.90,    5.94,     5.43,    0.21 
      5,       4,   0.30, 100.00,   5.24,    8.97,     6.73,    0.77 
